id_plot specrich total_ba rba_fsyl rba_qrob rba_qrub fragm specrich_std total_ba_std rba_fsyl_std rba_qrob_std rba_qrub_std fragm_std id_frag speccomb
1 2 3.663980607 0 0.2897993087 0.7102006913 3.1847466795 0.4576182397 0.3519409152 -0.915314777 -0.1141507361 1.0208333359 1.2903940155 1 qrob_qrub
2 1 2.9509568844 1 0 0 0.7853125698 -0.9690739194 -0.8761766174 1.8392300671 -0.9326250999 -0.924368384 0.3181925416 2 fsyl
3 1 3.601541453 1 0 0 0.2059818072 -0.9690739194 0.2443952371 1.8392300671 -0.9326250999 -0.924368384 0.0834596023 2 fsyl
4 2 3.5527093223 0.5664868629 0 0.4335131371 -0.6939766181 0.4576182397 0.1602864004 0.6450986905 -0.9326250999 0.2630009191 -0.2811850879 3 fsyl_qrub
5 3 3.6012665637 0.34098282 0.2659055346 0.3931116454 -0.0877123519 1.8843103989 0.2439217656 0.0239376918 -0.1816334423 0.1523433936 -0.0355392455 3 all
6 2 4.0742286253 0.3582130322 0 0.6417869678 -2.3300212852 0.4576182397 1.0585552508 0.071399084 -0.9326250999 0.8334518052 -0.9440768215 4 fsyl_qrub
7 3 3.252569414 0.377031367 0.2441866081 0.378782025 -3.0094789519 1.8843103989 -0.3566768814 0.123235031 -0.2429737699 0.1130953294 -1.2193791281 4 all
8 2 3.3650187961 0.5473366048 0 0.4526633952 -2.5983407737 0.4576182397 -0.1629932026 0.5923484459 -0.9326250999 0.3154524519 -1.0527943733 4 fsyl_qrub
9 2 3.7487447038 0.6582897728 0.3417102272 0 -3.349551297 0.4576182397 0.4979392461 0.8979739226 0.0324602278 -0.924368384 -1.3571694654 4 fsyl_qrob
10 1 3.2968658705 1 0 0 -2.166382926 -0.9690739194 -0.2803803248 1.8392300671 -0.9326250999 -0.924368384 -0.8777739156 4 fsyl
11 3 3.0497403384 0.3250923887 0.2021993021 0.4727083092 -3.7028346815 1.8843103989 -0.7060312381 -0.0198332138 -0.3615576744 0.3703543997 -1.5003126447 4 all
12 2 3.4194468888 0.592594932 0 0.407405068 -2.2827105315 0.4576182397 -0.069245838 0.7170145376 -0.9326250999 0.1914923138 -0.9249074747 4 fsyl_qrub
13 2 3.3276927484 0.6367198102 0.3632801898 0 -4.0668941222 0.4576182397 -0.2272838737 0.8385584935 0.0933798396 -0.924368384 -1.6478220609 4 fsyl_qrob
14 1 3.0565536674 1 0 0 -4.1590597387 -0.9690739194 -0.6942959079 1.8392300671 -0.9326250999 -0.924368384 -1.6851656779 4 fsyl
15 2 4.177159767 0.3619565575 0 0.6380434425 -3.2668638074 0.4576182397 1.2358446393 0.0817107923 -0.9326250999 0.8231984896 -1.323666191 4 fsyl_qrub
16 1 4.1598417375 0 0 1 -4.1721099902 -0.9690739194 1.2060159323 -0.915314777 -0.9326250999 1.8145781472 -1.690453372 4 qrub
17 2 2.9475011324 0.496446058 0.503553942 0 -0.4328855916 0.4576182397 -0.8821288312 0.4521681525 0.4895521791 -0.924368384 -0.1753963605 4 fsyl_qrob
18 1 3.2215069167 0 1 0 -0.2253936288 -0.9690739194 -0.4101791652 -0.915314777 1.8916548042 -0.924368384 -0.0913248742 4 qrob
19 1 3.7353340302 0 1 0 -2.7220226691 -0.9690739194 0.474840599 -0.915314777 1.8916548042 -0.924368384 -1.1029077399 4 qrob
20 1 4.4606099642 0 1 0 4.9783885974 -0.9690739194 1.7240614346 -0.915314777 1.8916548042 -0.924368384 2.0171409218 5 qrob
21 1 4.7230900304 1 0 0 3.9069199666 -0.9690739194 2.1761591153 1.8392300671 -0.9326250999 -0.924368384 1.5830038152 6 fsyl
22 1 3.7966736267 1 0 0 0.7940547033 -0.9690739194 0.5804923908 1.8392300671 -0.9326250999 -0.924368384 0.3217346747 7 fsyl
23 2 3.0088996339 0.4255736678 0.5744263322 0 -0.9978431997 0.4576182397 -0.776375581 0.2569469754 0.6897156466 -0.924368384 -0.4043055925 7 fsyl_qrob
