Function Importance_weight Direction
C_stock 7.5 maximize
BS 6.5 maximize
pH 6.5 maximize
CN 6.5 minimize
P 6 maximize
Decomp 6 maximize
Biomass 9.5 maximize
Cover 7 minimize
Veg_div 4.6666666667 maximize
GLI 6.5 minimize
LAI 6.75 maximize
P_germ 9.3333333333 maximize
Seed_biom 9.3333333333 maximize
Arth_div 4 maximize
Herbivory 7.25 minimize
Predation 4.5 maximize
Fit_spider 2.3333333333 maximize
Spider_diet 3 maximize
Bird_smi 3 maximize
Breed_succ 4 maximize
Bird_div 2 maximize
Egg_vol 0.6666666667 maximize
Egg_bact 0.6666666667 minimize
Egg_IgY 0.6666666667 minimize
